Designator,Mid X,Mid Y,Rotation,Layer
C1,154.025,-79.2,0.0,top
C2,154.3625,-81.2,0.0,top
C3,157.6,-75.975,90.0,top
C5,149.8,-76.2,180.0,top
C6,149.4,-74.2,180.0,top
C7,162.2,-77.6375,90.0,top
C8,164.2,-77.575,90.0,top
C9,158.2,-82.4,0.0,top
J1,137.785,-96.275,0.0,bottom
J2,182.205,-96.275,0.0,bottom
J3,139.4,-86.275,270.0,top
J4,180.675,-86.275,270.0,top
J5,142.0,-78.0,180.0,top
L1,154.5,-73.6,180.0,top
R1,159.2,-76.6,270.0,top
R2,159.2,-79.775,270.0,top
R3,166.6,-86.0,0.0,top
R4,182.0,-78.6,270.0,top
R5,178.6,-78.6,270.0,top
R6,175.2,-78.6,270.0,top
U1,160.0,-86.0,270.0,top
U2,154.5,-76.4,180.0,top
U3,168.0,-76.8,180.0,top
